forecast_year,EAR_lag1_woe,ROA_lag1_woe,LLR_lag1_woe,LIQ_lag1_woe
2011,-0.3330026531296095,-0.1546090865801069,0.0,-0.9238527738124269
2012,-0.7888345779693915,-0.21926026255152267,0.0,-0.8163454180684063
2013,-0.7991520121139323,-0.4528618547019377,0.0,-0.8010377162723873
2014,-0.5656344923079412,-0.6812436401768124,0.0,-1.3480262759831754
2015,-0.53949781128857,-0.52884851040409,0.0,-1.3035671903363562
2016,-1.2622382466797009,-0.3697589977456291,0.0,-0.3613655596571585
2017,-1.4175689004694667,-0.5176961053093169,0.0,-0.14583791495990328
2018,-1.206677912518464,-0.47270383888340756,0.0,-0.27331008284253755
2019,-1.1480612784851973,-0.4340289956618951,0.0,-0.3567897189945805
2020,-1.1244379686036143,-0.45418029534255877,0.0,-0.3153023898894776
2021,-1.1977330969587716,-0.363488028893831,0.0,-0.18877130536095882
2022,-1.2677451689517656,-0.18767137008812723,0.0,-0.21331887809753444
2023,-1.1990955381582655,-0.4358479836552002,0.0,-0.42405872206745215
2024,-1.3228574797512098,-0.3227653379529014,0.0,-0.4207291676514387
2008,-0.5788566216426879,-0.578856621642688,0.0,-0.23074346029138096
2009,-0.7199961889901959,-0.719996188990196,0.0,-0.5490319475900194
2010,-0.7777994292066777,-0.8501998558393176,0.0,-0.5955738742890819
2011,-0.3330026531296095,-0.1546090865801069,0.0,-0.9238527738124269
2012,-0.7888345779693915,-0.21926026255152267,0.0,-0.8163454180684063
2013,-0.7991520121139323,-0.4528618547019377,0.0,-0.8010377162723873
2014,-0.5656344923079412,-0.6812436401768124,0.0,-1.3480262759831754
2015,-0.53949781128857,-0.52884851040409,0.0,-1.3035671903363562
2016,-1.2622382466797009,-0.3697589977456291,0.0,-0.3613655596571585
2017,-1.4175689004694667,-0.5176961053093169,0.0,-0.14583791495990328
2018,-1.206677912518464,-0.47270383888340756,0.0,-0.27331008284253755
2019,-1.1480612784851973,-0.4340289956618951,0.0,-0.3567897189945805
2020,-1.1244379686036143,-0.45418029534255877,0.0,-0.3153023898894776
2021,-1.1977330969587716,-0.363488028893831,0.0,-0.18877130536095882
2022,-1.2677451689517656,-0.18767137008812723,0.0,-0.21331887809753444
2023,-1.1990955381582655,-0.4358479836552002,0.0,-0.42405872206745215
2024,-1.3228574797512098,-0.3227653379529014,0.0,-0.4207291676514387
2008,-0.5788566216426879,-0.578856621642688,0.0,-0.23074346029138096
2009,-0.7199961889901959,-0.719996188990196,0.0,-0.5490319475900194
2010,-0.7777994292066777,-0.8501998558393176,0.0,-0.5955738742890819
2011,-0.3330026531296095,-0.1546090865801069,0.0,-0.9238527738124269
2012,-0.7888345779693915,-0.21926026255152267,0.0,-0.8163454180684063
2013,-0.7991520121139323,-0.4528618547019377,0.0,-0.8010377162723873
2014,-0.5656344923079412,-0.6812436401768124,0.0,-1.3480262759831754
2015,-0.53949781128857,-0.52884851040409,0.0,-1.3035671903363562
2016,-1.2622382466797009,-0.3697589977456291,0.0,-0.3613655596571585
2017,-1.4175689004694667,-0.5176961053093169,0.0,-0.14583791495990328
2018,-1.206677912518464,-0.47270383888340756,0.0,-0.27331008284253755
2019,-1.1480612784851973,-0.4340289956618951,0.0,-0.3567897189945805
2020,-1.1244379686036143,-0.45418029534255877,0.0,-0.3153023898894776
2021,-1.1977330969587716,-0.363488028893831,0.0,-0.18877130536095882
2022,-1.2677451689517656,-0.18767137008812723,0.0,-0.21331887809753444
2023,-1.1990955381582655,-0.4358479836552002,0.0,-0.42405872206745215
2024,-1.3228574797512098,-0.3227653379529014,0.0,-0.4207291676514387
2008,-0.5788566216426879,-0.578856621642688,0.0,-0.23074346029138096
2009,-0.7199961889901959,-0.719996188990196,0.0,-0.5490319475900194
2010,-0.7777994292066777,-0.8501998558393176,0.0,-0.5955738742890819
2011,-0.3330026531296095,-0.1546090865801069,0.0,-0.9238527738124269
2012,-0.7888345779693915,-0.21926026255152267,0.0,-0.8163454180684063
2013,-0.7991520121139323,-0.4528618547019377,0.0,-0.8010377162723873
2014,-0.5656344923079412,-0.6812436401768124,0.0,-1.3480262759831754
2015,-0.53949781128857,-0.52884851040409,0.0,-1.3035671903363562
2017,-1.4175689004694667,-0.5176961053093169,0.0,-0.14583791495990328
2018,-1.206677912518464,-0.47270383888340756,0.0,-0.27331008284253755
2019,-1.1480612784851973,-0.4340289956618951,0.0,-0.3567897189945805
2020,-1.1244379686036143,-0.45418029534255877,0.0,-0.3153023898894776
2021,-1.1977330969587716,-0.363488028893831,0.0,-0.18877130536095882
2022,-1.2677451689517656,-0.18767137008812723,0.0,-0.21331887809753444
2023,-1.1990955381582655,-0.4358479836552002,0.0,-0.42405872206745215
2024,-1.3228574797512098,-0.3227653379529014,0.0,-0.4207291676514387
